symbol,ex_date,date_type,record_date,category,resulting_entity,resulting_symbol,source,source_reference,retrieved_at,verified,gap_pct_kite,review_reason
TMPV,2025-10-14,EX_DATE,2025-10-14,DEMERGER,"Tata Motors Limited was renamed Tata Motors Passenger Vehicles Limited (TMPV, retaining PV/EV/JLR); the commercial-vehicles business was demerged into a new entity that took the 'Tata Motors' name and listed separately on NSE/BSE 2025-11-12 (TMCV)",,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-12.0783,
SKFINDIA,2025-10-15,EX_DATE,2025-10-15,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-2.0376,
DALMIASUG,2025-10-31,EX_DATE,2025-10-31,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,0.0000,
ALLCARGO,2025-11-12,EX_DATE,2025-11-12,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-64.4176,
HINDUNILVR,2025-12-05,EX_DATE,2025-12-05,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-1.6327,
DCMSRIND,2025-12-26,EX_DATE,2025-12-26,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-70.3764,
GENUSPOWER,2026-02-06,EX_DATE,2026-02-06,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-1.5560,
VEDL,2026-04-30,EX_DATE,2026-05-01,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-28.5009,
GUJENERGY,2026-07-02,EX_DATE,2026-07-02,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-14.7050,
TRIVENI,2026-07-22,EX_DATE,2026-07-22,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-28.9860,
INOXGREEN,2026-07-31,EX_DATE,2026-08-01,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-0.7133,
SIYSIL,2026-08-21,EX_DATE,2026-08-22,NCRPS_BONUS_SCHEME,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,false,-1.9381,"NSE files this under action_type=DEMERGER but subject is 'Scheme Of Arrangement - Bonus Ncrps 3:1' -- a Scheme of Arrangement issuing Non-Convertible Redeemable Preference Shares, not a business demerger. Kite gap on/near ex_date is -1.9381% (no discontinuity consistent with a business separation). Excluded from regime-break treatment pending owner confirmation."
INDIAGLYCO,2026-09-02,EX_DATE,2026-09-02,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-79.7607,
TVSHLTD,2026-09-08,EX_DATE,2026-09-08,NCRPS_BONUS_SCHEME,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,false,-0.0364,"NSE files this under action_type=DEMERGER but subject is 'Scheme Of Arrangement - Bonus Ncrps 46:1' -- a Scheme of Arrangement issuing Non-Convertible Redeemable Preference Shares, not a business demerger. Kite gap on/near ex_date is -0.0364% (no discontinuity consistent with a business separation). Excluded from regime-break treatment pending owner confirmation."
